Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	2
50	1
51	1
52	2
53	3
54	13
55	12
56	8
57	16
58	11
59	29
60	18
61	13
62	12
63	23
64	5
65	18
66	15
67	21
68	5
69	15
70	16
71	12
72	13
73	9
74	16
75	16
76	14
77	17
78	12
79	15
80	9
81	16
82	13
83	14
84	14
85	10
86	14
87	15
88	9
89	13
90	6
91	20
92	19
93	17
94	14
95	25
96	3
97	19
98	13
99	15
100	19
101	10
102	16
103	18
104	12
105	11
106	19
107	13
108	13
109	16
110	11
111	13
112	8
113	14
114	12
115	15
116	15
117	4
118	16
119	12
120	7
121	12
122	11
123	11
124	5
125	20
126	13
127	25
128	5
129	8
130	16
131	14
132	6
133	7
134	8
135	11
136	14
137	15
138	7
139	19
140	17
141	14
142	6
143	13
144	11
145	15
146	17
147	11
148	15
149	15
150	11
151	16
152	7
153	9
154	10
155	12
156	9
157	10
158	5
159	19
160	6
161	12
162	13
163	10
164	13
165	15
166	12
167	9
168	10
169	8
170	11
171	13
172	6
173	13
174	11
175	15
176	7
177	9
178	7
179	9
180	12
181	20
182	12
183	13
184	17
185	14
186	12
187	19
188	14
189	15
190	17
191	12
192	5
193	22
194	12
195	15
196	17
197	6
198	16
199	5
200	11
201	18
202	5
203	9
204	12
205	6
206	11
207	11
208	7
209	8
210	11
211	8
212	8
213	13
214	14
215	13
216	9
217	12
218	6
219	11
220	9
221	9
222	8
223	9
224	5
225	6
226	7
227	12
228	7
229	8
230	9
231	12
232	7
233	11
234	6
235	13
236	15
237	12
238	6
239	10
240	9
241	10
242	13
243	9
244	7
245	11
246	12
247	10
248	9
249	16
250	8
251	12
252	8
253	18
254	15
255	14
256	4
257	5
258	17
259	10
260	9
261	10
262	16
263	7
264	9
265	18
266	10
267	20
268	11
269	10
270	10
271	14
272	8
273	13
274	12
275	20
276	12
277	10
278	12
279	9
280	10
281	12
282	13
283	12
284	16
285	20
286	17
287	15
288	8
289	14
290	13
291	16
292	9
293	21
294	21
295	18
296	14
297	25
298	13
299	27
300	16
301	25
302	13
303	33
304	15
305	19
306	18
307	15
308	8
309	19
310	23
311	16
312	11
313	19
314	13
315	23
316	16
317	19
318	18
319	23
320	8
321	19
322	19
323	16
324	14
325	9
326	10
327	14
328	11
329	27
330	9
331	15
332	9
333	14
334	14
335	13
336	8
337	11
338	12
339	13
340	5
341	16
342	12
343	11
344	9
345	9
346	8
347	15
348	7
349	10
350	8
351	18
352	6
353	12
354	9
355	11
356	8
357	17
358	9
359	11
360	7
361	10
362	4
363	9
364	15
365	10
366	13
367	15
368	5
369	3
370	9
371	8
372	7
373	10
374	5
375	10
376	5
377	14
378	7
379	15
380	7
381	4
382	12
383	12
384	5
385	9
386	10
387	13
388	6
389	8
390	13
391	6
392	11
393	10
394	6
395	8
396	5
397	9
398	9
399	9
400	9
401	9
402	13
403	5
404	12
405	9
406	10
407	9
408	6
409	13
410	4
411	17
412	16
413	8
414	12
415	18
416	6
417	11
418	8
419	13
420	13
421	17
422	12
423	12
424	13
425	17
426	9
427	14
428	17
429	15
430	21
431	17
432	14
433	20
434	19
435	19
436	15
437	16
438	24
439	18
440	15
441	23
442	13
443	31
444	31
445	19
446	15
447	23
448	6
449	31
450	16
451	26
452	23
453	17
454	25
455	17
456	17
457	12
458	12
459	20
460	20
461	20
462	15
463	16
464	15
465	20
466	13
467	19
468	15
469	10
470	10
471	14
472	20
473	21
474	9
475	12
476	18
477	11
478	13
479	12
480	15
481	11
482	14
483	9
484	14
485	12
486	9
487	16
488	7
489	17
490	10
491	9
492	13
493	19
494	8
495	16
496	9
497	17
498	12
499	13
500	8
501	8
502	15
503	9
504	12
505	14
506	7
507	15
508	11
509	14
510	10
511	18
512	5
513	13
514	9
515	16
516	14
517	15
518	16
519	11
520	16
521	14
522	9
523	12
524	9
525	13
526	11
527	6
528	6
529	10
530	11
531	12
532	15
533	12
534	6
535	13
536	11
537	9
538	9
539	13
540	3
541	12
542	11
543	21
544	6
545	12
546	11
547	9
548	12
549	10
550	12
551	15
552	5
553	13
554	3
555	16
556	14
557	13
558	19
559	8
560	8
561	16
562	14
563	15
564	13
565	5
566	14
567	21
568	6
569	8
570	8
571	13
572	7
573	17
574	12
575	18
576	7
577	9
578	14
579	13
580	13
581	12
582	16
583	15
584	9
585	18
586	6
587	15
588	17
589	9
590	13
591	10
592	7
593	12
594	7
595	9
596	13
597	12
598	12
599	11
600	16
601	13
602	7
603	19
604	12
605	19
606	12
607	20
608	14
609	13
610	22
611	18
612	19
613	11
614	26
615	23
616	15
617	17
618	13
619	23
620	20
621	26
622	16
623	28
624	11
625	28
626	14
627	17
628	16
629	14
630	14
631	15
632	11
633	18
634	17
635	24
636	16
637	18
638	14
639	25
640	6
641	11
642	17
643	17
644	16
645	9
646	13
647	17
648	15
649	23
650	13
651	10
652	15
653	13
654	13
655	13
656	2
657	9
658	12
659	14
660	10
661	10
662	11
663	8
664	9
665	14
666	11
667	20
668	10
669	10
670	9
671	16
672	2
673	8
674	7
675	6
676	13
677	17
678	14
679	12
680	8
681	12
682	13
683	15
684	14
685	11
686	12
687	14
688	6
689	10
690	17
691	13
692	14
693	7
694	7
695	16
696	9
697	10
698	10
699	11
700	14
701	6
702	12
703	18
704	7
705	16
706	10
707	15
708	14
709	10
710	15
711	13
712	11
713	17
714	7
715	7
716	13
717	9
718	15
719	11
720	8
721	15
722	14
723	13
724	11
725	12
726	19
727	8
728	5
729	12
730	6
731	11
732	12
733	5
734	19
735	12
736	6
737	11
738	12
739	10
740	13
741	10
742	14
743	13
744	11
745	14
746	10
747	9
748	10
749	11
750	14
751	19
752	8
753	17
754	18
755	5
756	14
757	10
758	10
759	12
760	6
761	13
762	8
763	19
764	14
765	12
766	14
767	22
768	6
769	20
770	9
771	17
772	19
773	18
774	12
775	11
776	10
777	11
778	11
779	20
780	11
781	15
782	11
783	22
784	15
785	15
786	24
787	23
788	21
789	20
790	25
791	21
792	18
793	22
794	15
795	18
796	20
797	28
798	19
799	25
800	19
801	28
802	18
803	31
804	25
805	15
806	33
807	30
808	22
809	36
810	30
811	19
812	27
813	33
814	34
815	27
816	27
817	20
818	22
819	35
820	35
821	18
822	37
823	32
824	24
825	31
826	27
827	46
828	27
829	38
830	40
831	38
832	21
833	47
834	50
835	40
836	51
837	41
838	49
839	41
840	37
841	71
842	49
843	62
844	73
845	66
846	78
847	81
848	56
849	75
850	77
851	126
852	102
853	105
854	142
855	118
856	127
857	186
858	155
859	206
860	201
861	211
862	233
863	283
864	205
865	272
866	263
867	304
868	341
869	287
870	397
871	387
872	327
873	449
874	341
875	414
876	494
877	435
878	458
879	500
880	371
881	473
882	487
883	560
884	536
885	476
886	591
887	510
888	425
889	583
890	464
891	573
892	478
893	508
894	514
895	735
896	282
897	461
898	486
899	495
900	492
901	398
902	480
903	330
904	337
905	466
906	336
907	342
908	380
909	321
910	328
911	289
912	219
913	296
914	247
915	271
916	225
917	190
918	218
919	163
920	156
921	190
922	121
923	172
924	136
925	110
926	123
927	145
928	74
929	80
930	105
931	90
932	99
933	54
934	61
935	64
936	55
937	57
938	52
939	45
940	48
941	35
942	55
943	42
944	41
945	39
946	46
947	52
948	50
949	51
950	47
951	52
952	32
953	59
954	37
955	65
956	47
957	64
958	52
959	68
960	46
961	57
962	44
963	43
964	82
965	59
966	60
967	49
968	41
969	60
970	47
971	64
972	78
973	69
974	82
975	81
976	54
977	66
978	69
979	80
980	87
981	67
982	101
983	72
984	58
985	100
986	73
987	116
988	79
989	106
990	100
991	132
992	72
993	105
994	124
995	107
996	116
997	77
998	160
999	101
1000	96
1001	132
1002	99
1003	105
1004	110
1005	100
1006	115
1007	123
1008	85
1009	101
1010	102
1011	111
1012	102
1013	67
1014	97
1015	86
1016	75
1017	88
1018	83
1019	84
1020	77
1021	75
1022	70
1023	96
1024	20
1025	49
1026	46
1027	66
1028	67
1029	46
1030	53
1031	46
1032	30
1033	55
1034	31
1035	35
1036	35
1037	32
1038	31
1039	30
1040	23
1041	37
1042	30
1043	37
1044	24
1045	22
1046	33
1047	13
1048	17
1049	32
1050	23
1051	22
1052	20
1053	27
1054	17
1055	35
1056	16
1057	29
1058	22
1059	29
1060	29
1061	18
1062	40
1063	36
1064	25
1065	42
1066	25
1067	52
1068	37
1069	43
1070	36
1071	51
1072	46
1073	55
1074	63
1075	79
1076	55
1077	69
1078	116
1079	93
1080	64
1081	101
1082	96
1083	156
1084	103
1085	138
1086	123
1087	195
1088	90
1089	177
1090	127
1091	169
1092	189
1093	179
1094	248
1095	226
1096	190
1097	315
1098	221
1099	289
1100	327
1101	360
1102	297
1103	400
1104	194
1105	349
1106	349
1107	451
1108	394
1109	335
1110	413
1111	359
1112	343
1113	504
1114	393
1115	503
1116	384
1117	471
1118	430
1119	600
1120	278
1121	494
1122	451
1123	511
1124	440
1125	399
1126	461
1127	459
1128	298
1129	490
1130	348
1131	409
1132	389
1133	376
1134	383
1135	415
1136	203
1137	335
1138	275
1139	306
1140	263
1141	209
1142	294
1143	284
1144	164
1145	251
1146	157
1147	208
1148	179
1149	197
1150	152
1151	226
1152	73
1153	116
1154	118
1155	112
1156	114
1157	84
1158	96
1159	72
1160	56
1161	70
1162	52
1163	63
1164	57
1165	47
1166	39
1167	55
1168	38
1169	38
1170	42
1171	25
1172	25
1173	28
1174	34
1175	26
1176	18
1177	30
1178	15
1179	26
1180	20
1181	22
1182	16
1183	27
1184	8
1185	22
1186	24
1187	29
1188	30
1189	8
1190	22
1191	18
1192	13
1193	21
1194	17
1195	19
1196	22
1197	12
1198	15
1199	27
1200	11
1201	16
1202	25
1203	20
1204	21
1205	19
1206	22
1207	21
1208	16
1209	27
1210	21
1211	20
1212	21
1213	23
1214	29
1215	29
1216	16
1217	25
1218	24
1219	18
1220	22
1221	21
1222	20
1223	15
1224	14
1225	29
1226	18
1227	21
1228	26
1229	22
1230	18
1231	20
1232	15
1233	20
1234	24
1235	13
1236	20
1237	20
1238	17
1239	13
1240	18
1241	29
1242	20
1243	23
1244	16
1245	27
1246	22
1247	26
1248	10
1249	18
1250	24
1251	16
1252	26
1253	9
1254	27
1255	17
1256	13
1257	21
1258	11
1259	18
1260	14
1261	17
1262	22
1263	10
1264	5
1265	16
1266	23
1267	21
1268	23
1269	16
1270	26
1271	17
1272	11
1273	26
1274	12
1275	16
1276	15
1277	21
1278	26
1279	27
1280	9
1281	20
1282	22
1283	20
1284	17
1285	16
1286	23
1287	26
1288	20
1289	27
1290	18
1291	25
1292	28
1293	25
1294	23
1295	23
1296	24
1297	38
1298	28
1299	32
1300	22
1301	25
1302	33
1303	38
1304	31
1305	45
1306	32
1307	60
1308	36
1309	35
1310	36
1311	61
1312	46
1313	48
1314	51
1315	56
1316	74
1317	67
1318	61
1319	59
1320	48
1321	96
1322	75
1323	67
1324	99
1325	82
1326	96
1327	85
1328	74
1329	96
1330	106
1331	111
1332	129
1333	98
1334	147
1335	148
1336	89
1337	198
1338	128
1339	230
1340	168
1341	195
1342	212
1343	252
1344	106
1345	229
1346	265
1347	247
1348	278
1349	248
1350	363
1351	270
1352	252
1353	376
1354	291
1355	341
1356	337
1357	330
1358	336
1359	380
1360	275
1361	364
1362	387
1363	467
1364	383
1365	382
1366	537
1367	356
1368	325
1369	467
1370	373
1371	478
1372	385
1373	405
1374	434
1375	467
1376	292
1377	403
1378	422
1379	388
1380	445
1381	306
1382	395
1383	345
1384	265
1385	392
1386	267
1387	296
1388	321
1389	289
1390	294
1391	250
1392	147
1393	259
1394	234
1395	269
1396	211
1397	155
1398	201
1399	166
1400	138
1401	183
1402	114
1403	180
1404	118
1405	145
1406	106
1407	134
1408	71
1409	105
1410	99
1411	96
1412	92
1413	72
1414	80
1415	67
1416	54
1417	73
1418	43
1419	63
1420	59
1421	58
1422	44
1423	50
1424	48
1425	46
1426	41
1427	59
1428	35
1429	26
1430	36
1431	25
1432	32
1433	25
1434	21
1435	30
1436	26
1437	22
1438	19
1439	18
1440	13
1441	24
1442	23
1443	20
1444	19
1445	11
1446	20
1447	17
1448	17
1449	19
1450	11
1451	19
1452	13
1453	14
1454	16
1455	22
1456	13
1457	21
1458	19
1459	11
1460	9
1461	7
1462	13
1463	8
1464	3
1465	8
1466	11
1467	12
1468	12
1469	9
1470	12
1471	8
1472	5
1473	9
1474	16
1475	7
1476	15
1477	9
1478	15
1479	5
1480	12
1481	7
1482	8
1483	10
1484	15
1485	20
1486	11
1487	9
1488	4
1489	5
1490	13
1491	7
1492	11
1493	7
1494	14
1495	8
1496	7
1497	9
1498	3
1499	9
1500	5
1501	5
1502	8
1503	8
1504	7
1505	6
1506	7
1507	8
1508	9
1509	4
1510	14
1511	8
1512	6
1513	8
1514	4
1515	11
1516	7
1517	5
1518	8
1519	11
1520	7
1521	2
1522	8
1523	11
1524	11
1525	4
1526	11
1527	4
1528	8
1529	11
1530	4
1531	9
1532	12
1533	10
1534	12
1535	9
1536	8
1537	6
1538	5
1539	13
1540	8
1541	7
1542	16
1543	9
1544	4
1545	19
1546	10
1547	3
1548	10
1549	10
1550	9
1551	10
1552	8
1553	11
1554	11
1555	8
1556	10
1557	12
1558	11
1559	7
1560	7
1561	11
1562	8
1563	17
1564	11
1565	10
1566	9
1567	19
1568	13
1569	10
1570	13
1571	10
1572	13
1573	8
1574	23
1575	10
1576	10
1577	15
1578	11
1579	17
1580	16
1581	16
1582	15
1583	19
1584	15
1585	23
1586	19
1587	17
1588	19
1589	18
1590	15
1591	22
1592	13
1593	19
1594	17
1595	28
1596	16
1597	29
1598	29
1599	25
1600	21
1601	26
1602	22
1603	35
1604	29
1605	22
1606	36
1607	25
1608	39
1609	43
1610	29
1611	30
1612	39
1613	36
1614	37
1615	57
1616	42
1617	44
1618	51
1619	48
1620	52
1621	48
1622	56
1623	46
1624	49
1625	55
1626	55
1627	70
1628	46
1629	52
1630	39
1631	71
1632	52
1633	41
1634	53
1635	44
1636	69
1637	57
1638	58
1639	41
1640	34
1641	49
1642	33
1643	43
1644	56
1645	39
1646	52
1647	61
1648	31
1649	56
1650	34
1651	54
1652	33
1653	29
1654	53
1655	31
1656	30
1657	38
1658	32
1659	32
1660	30
1661	29
1662	35
1663	37
1664	14
1665	28
1666	31
1667	30
1668	36
1669	27
1670	39
1671	19
1672	32
1673	25
1674	18
1675	24
1676	24
1677	21
1678	28
1679	27
1680	22
1681	31
1682	21
1683	23
1684	27
1685	14
1686	24
1687	19
1688	17
1689	25
1690	19
1691	29
1692	21
1693	23
1694	20
1695	26
1696	15
1697	23
1698	26
1699	16
1700	12
1701	9
1702	24
1703	16
1704	16
1705	11
1706	9
1707	13
1708	14
1709	15
1710	9
1711	13
1712	16
1713	7
1714	13
1715	16
1716	7
1717	12
1718	13
1719	17
1720	10
1721	9
1722	5
1723	12
1724	12
1725	8
1726	12
1727	8
1728	7
1729	16
1730	9
1731	12
1732	8
1733	15
1734	14
1735	9
1736	9
1737	14
1738	10
1739	8
1740	15
1741	13
1742	7
1743	13
1744	13
1745	12
1746	15
1747	10
1748	17
1749	8
1750	12
1751	11
1752	5
1753	10
1754	5
1755	12
1756	10
1757	9
1758	7
1759	7
1760	13
1761	9
1762	7
1763	5
1764	11
1765	4
1766	12
1767	7
1768	6
1769	9
1770	10
1771	7
1772	4
1773	8
1774	12
1775	9
1776	4
1777	6
1778	9
1779	17
1780	11
1781	9
1782	11
1783	7
1784	5
1785	12
1786	6
1787	15
1788	10
1789	6
1790	9
1791	11
1792	3
1793	7
1794	10
1795	14
1796	9
1797	5
1798	9
1799	3
1800	12
1801	7
1802	11
1803	8
1804	16
1805	13
1806	10
1807	8
1808	10
1809	7
1810	8
1811	8
1812	13
1813	11
1814	16
1815	3
1816	12
1817	10
1818	4
1819	12
1820	7
1821	12
1822	17
1823	16
1824	9
1825	10
1826	13
1827	12
1828	22
1829	13
1830	9
1831	11
1832	15
1833	16
1834	14
1835	15
1836	13
1837	21
1838	16
1839	10
1840	13
1841	9
1842	16
1843	20
1844	13
1845	9
1846	18
1847	15
1848	17
1849	27
1850	18
1851	19
1852	25
1853	21
1854	11
1855	16
1856	20
1857	15
1858	18
1859	19
1860	31
1861	19
1862	33
1863	14
1864	19
1865	20
1866	14
1867	14
1868	29
1869	25
1870	20
1871	17
1872	17
1873	26
1874	24
1875	32
1876	41
1877	19
1878	27
1879	25
1880	34
1881	24
1882	26
1883	38
1884	25
1885	29
1886	23
1887	44
1888	22
1889	29
1890	27
1891	17
1892	27
1893	24
1894	26
1895	28
1896	26
1897	35
1898	31
1899	30
1900	31
1901	28
1902	35
1903	29
1904	21
1905	37
1906	29
1907	44
1908	30
1909	11
1910	41
1911	16
1912	17
1913	34
1914	22
1915	34
1916	26
1917	29
1918	34
1919	32
1920	21
1921	26
1922	33
1923	19
1924	31
1925	18
1926	36
1927	18
1928	21
1929	41
1930	16
1931	37
1932	33
1933	29
1934	28
1935	16
1936	36
1937	40
1938	26
1939	27
1940	35
1941	28
1942	48
1943	15
1944	28
1945	45
1946	27
1947	36
1948	30
1949	33
1950	33
1951	35
1952	21
1953	36
1954	38
1955	36
1956	37
1957	27
1958	32
1959	40
1960	17
1961	45
1962	23
1963	33
1964	36
1965	18
1966	35
1967	15
1968	34
1969	38
1970	26
1971	23
1972	25
1973	18
1974	27
1975	27
1976	17
1977	26
1978	13
1979	14
1980	17
1981	29
1982	19
1983	12
1984	14
1985	10
1986	14
1987	12
1988	13
1989	11
1990	12
1991	7
1992	14
1993	14
1994	8
1995	13
1996	20
1997	16
1998	3
1999	7
2000	10
2001	7
2002	11
2003	12
2004	6
2005	3
2006	6
2007	4
2008	6
2009	9
2010	4
2011	2
2012	5
2013	5
2014	4
2015	4
2016	6
2017	8
2018	7
2019	4
2020	6
2021	4
2022	6
2023	5
2024	3
2025	6
2026	1
2027	6
2028	5
2029	3
2030	1
2031	4
2032	5
